,mcc,mcc_name,mcc_group,big_cashback,no_cashback
252,3244,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
253,3245,EasyJet (EASYJET),"Авиалинии, авиакомпании",0,0
254,3246,Ryanair (RYANAIR),"Авиалинии, авиакомпании",0,0
255,3247,Gol Airlines (GOL),"Авиалинии, авиакомпании",0,0
256,3248,Tam Airlines (TAM),"Авиалинии, авиакомпании",0,0
257,3249,Название,"Авиалинии, авиакомпании",0,0
258,3250,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
259,3251,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
260,3252,ALM Antilean Airlines (ALM),"Авиалинии, авиакомпании",0,0
261,3253,America West (AMERWEST),"Авиалинии, авиакомпании",0,0
262,3254,Trump Airline,"Авиалинии, авиакомпании",0,0
263,3256,Alaska Airlines Inc. (ALASKA A),"Авиалинии, авиакомпании",0,0
264,3257,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
265,3258,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
266,3259,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
267,3260,Spirit Airlines (SPIRIT),"Авиалинии, авиакомпании",0,0
268,3261,Air China (AIR CHINA),"Авиалинии, авиакомпании",0,0
269,3262,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
270,3263,Aero Servicio Carabobo (ASERCA),"Авиалинии, авиакомпании",0,0
271,3264,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
272,3265,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
273,3266,Air Seychelles (AIR SEYC),"Авиалинии, авиакомпании",0,0
274,3267,Air Panama International (AIR PANA),"Авиалинии, авиакомпании",0,0
275,3268,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
276,3270,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
277,3274,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
278,3275,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
279,3276,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
280,3277,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
281,3278,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
282,3279,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
283,3280,Название,Air Jamaica (AIR JAMA),0,0
284,3281,Air Djibouti (AIR DJIB),"Авиалинии, авиакомпании",0,0
285,3282,Air Djibouti (AIR DJIB),"Авиалинии, авиакомпании",0,0
286,3283,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
287,3284,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
288,3285,Aero Peru (AEROPERU),"Авиалинии, авиакомпании",0,0
289,3286,Aero Nicaraguenses (AERO NIC),"Авиалинии, авиакомпании",0,0
290,3287,Aero Coach Aviation (AEROCOAC),"Авиалинии, авиакомпании",0,0
291,3288,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
292,3289,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
293,3290,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
294,3291,"Авиалинии, авиакомпании","Авиалинии, авиакомпании",0,0
295,3292,Cyprus Airways (CYPRUSA),"Авиалинии, авиакомпании",0,0
296,3293,Ecuatoriana (ECUATORI),"Авиалинии, авиакомпании",0,0
297,3294,Ethiopian Airlines (ETHIOPIA),"Авиалинии, авиакомпании",0,0
298,3295,Kenya Airways (KENYAAIR),"Авиалинии, авиакомпании",0,0
299,3296,Air Berlin (AIRBERLIN),"Авиалинии, авиакомпании",0,0
300,3297,Tarom Romanian Air Transport (TAROM AIR),"Авиалинии, авиакомпании",0,0
301,3298,Air Mauritius (AIRMAURI),"Авиалинии, авиакомпании",0,0
302,3299,Wideroes Flyveselskap (WIDEROES),"Авиалинии, авиакомпании",0,0
303,3351,AÕliated Auto Rental,Аренда автомобилей,0,0
304,3352,American Intl Rent-a-car,Аренда автомобилей,0,0
305,3353,Brooks Rent-a-car,Аренда автомобилей,0,0
306,3354,Action Auto Rental,Аренда автомобилей,0,0
307,3355,Агентства по аренде автомобилей,Аренда автомобилей,0,0
308,3356,Агентства по аренде автомобилей,Аренда автомобилей,0,0
309,3357,Hertz Rent-a-car,Аренда автомобилей,0,0
310,3358,Агентства по аренде автомобилей,Аренда автомобилей,0,0
311,3359,Payless Car Rental,Аренда автомобилей,0,0
312,3360,Snappy Car Rental,Аренда автомобилей,0,0
313,3361,Airways Rent-a-car,Аренда автомобилей,0,0
314,3362,Altra Auto Rental,Аренда автомобилей,0,0
315,3363,Агентства по аренде автомобилей,Аренда автомобилей,0,0
316,3364,Agency Rent-a-car,Аренда автомобилей,0,0
317,3365,Агентства по аренде автомобилей,Аренда автомобилей,0,0
318,3366,Budget Rent-a-car,Аренда автомобилей,0,0
319,3367,Агентства по аренде автомобилей,Аренда автомобилей,0,0
320,3368,Holiday Rent-a-wreck,Аренда автомобилей,0,0
321,3369,Агентства по аренде автомобилей,Аренда автомобилей,0,0
322,3370,Rent-a-wreck,Аренда автомобилей,0,0
323,3371,Агентства по аренде автомобилей,Аренда автомобилей,0,0
324,3372,Агентства по аренде автомобилей,Аренда автомобилей,0,0
325,3373,Агентства по аренде автомобилей,Аренда автомобилей,0,0
326,3374,Агентства по аренде автомобилей,Аренда автомобилей,0,0
327,3375,Агентства по аренде автомобилей,Аренда автомобилей,0,0
328,3376,Ajax Rent-a-car,Аренда автомобилей,0,0
329,3377,Агентства по аренде автомобилей,Аренда автомобилей,0,0
330,3378,Агентства по аренде автомобилей,Аренда автомобилей,0,0
331,3379,Агентства по аренде автомобилей,Аренда автомобилей,0,0
332,3380,Агентства по аренде автомобилей,Аренда автомобилей,0,0
333,3381,Europ Car,Аренда автомобилей,0,0
334,3382,Агентства по аренде автомобилей,Аренда автомобилей,0,0
335,3383,Название,Агентства по аренде автомобилей,0,0
336,3384,Агентства по аренде автомобилей,Аренда автомобилей,0,0
337,3385,Tropical Rent-a-car,Аренда автомобилей,0,0
338,3386,Showcase Rental Cars,Аренда автомобилей,0,0
339,3387,Alamo Rent-a-car,Аренда автомобилей,0,0
340,3388,Агентства по аренде автомобилей,Аренда автомобилей,0,0
341,3389,Avis Rent-a-car,Аренда автомобилей,0,0
342,3390,Dollar Rent-a-car,Аренда автомобилей,0,0
343,3391,Europe By Car,Аренда автомобилей,0,0
344,3392,Агентства по аренде автомобилей,Аренда автомобилей,0,0
345,3393,National Car Rental,Аренда автомобилей,0,0
346,3394,Kemwell Group Rent-a-car,Аренда автомобилей,0,0
347,3395,Thrifty Rent-a-car,Аренда автомобилей,0,0
348,3396,Tilden Tent-a-car,Аренда автомобилей,0,0
349,3397,Агентства по аренде автомобилей,Аренда автомобилей,0,0
350,3398,Econo-car Rent-a-car,Аренда автомобилей,0,0
351,3399,Amerex Rent-a-Car,Аренда автомобилей,0,0
352,3400,Auto Host Cost Car Rentals,Аренда автомобилей,0,0
353,3401,Агентства по аренде автомобилей,Аренда автомобилей,0,0
354,3402,Агентства по аренде автомобилей,Аренда автомобилей,0,0
355,3403,Агентства по аренде автомобилей,Аренда автомобилей,0,0
356,3404,Агентства по аренде автомобилей,Аренда автомобилей,0,0
357,3405,Enterprise Rent-a-car,Аренда автомобилей,0,0
358,3406,Агентства по аренде автомобилей,Аренда автомобилей,0,0
359,3407,Агентства по аренде автомобилей,Аренда автомобилей,0,0
360,3408,Агентства по аренде автомобилей,Аренда автомобилей,0,0
361,3409,Название,General Rent-a-car,0,0
362,3410,Агентства по аренде автомобилей,Аренда автомобилей,0,0
363,3412,A-1 Rent-a-car,Аренда автомобилей,0,0
364,3413,Агентства по аренде автомобилей,Аренда автомобилей,0,0
365,3414,Godfrey Natl Rent-a-car,Аренда автомобилей,0,0
366,3415,Агентства по аренде автомобилей,Аренда автомобилей,0,0
367,3416,Агентства по аренде автомобилей,Аренда автомобилей,0,0
368,3417,Агентства по аренде автомобилей,Аренда автомобилей,0,0
369,3418,Агентства по аренде автомобилей,Аренда автомобилей,0,0
370,3419,Alpha Rent-a-car,Аренда автомобилей,0,0
